text,label
"Hey Sam, are we still on for this weekend?",Personal
"Hey Sam, are we still on for this weekend?",Personal
Earn $500 per day from home. Limited time: http://verify-now.example,Spam
My account is locked after an update. Can you reset it?,Support
Congratulations! You won a vacation. Click http://verify-now.example to claim now.,Spam
"Hey Taylor, are we still on for this weekend?",Personal
Flash deal: laptops for $29. Shop now at HomePlus.,Promotions
My account is locked after a password change. Can you reset it?,Support
"Hey Jordan, are we still on for tomorrow?",Personal
Ticket #5502: login errors. Please advise on next steps.,Support
Earn $1500 per day from home. Limited time: http://bonus.example,Spam
TechMart sale: 10% off laptops. Ends tomorrow.,Promotions
"Happy birthday, Jordan! Let's catch up next week.",Personal
URGENT: Your account has been compromised. Verify at http://verify-now.example.,Spam
Flash deal: kitchenware for $29. Shop now at ShopNow.,Promotions
New arrivals at StyleCo. Get 10% off with code HELLO20.,Promotions
New arrivals at HomePlus. Get 30% off with code DEAL30.,Promotions
HomePlus sale: 10% off shoes. Ends Friday.,Promotions
"Hey Sam, are we still on for this weekend?",Personal
My account is locked after a login attempt. Can you reset it?,Support
"Happy birthday, Alex! Let's catch up next week.",Personal
I need help with the reporting API. The error says 'invalid token'.,Support
"Happy birthday, Alex! Let's catch up this weekend.",Personal
"Hey Jordan, are we still on for tomorrow?",Personal
Your cart misses you. Save 30% on kitchenware today.,Promotions
Earn $500 per day from home. Limited time: http://free-offer.example,Spam
Flash deal: headphones for $49. Shop now at ShopNow.,Promotions
Thanks for the help yesterday. Lunch next week?,Personal
"Happy birthday, Alex! Let's catch up tomorrow.",Personal
Ticket #5502: API timeouts. Please advise on next steps.,Support
Flash deal: kitchenware for $49. Shop now at TechMart.,Promotions
Congratulations! You won a vacation. Click http://bonus.example to claim now.,Spam
I need help with the mobile app. The error says 'invalid token'.,Support
Flash deal: shoes for $29. Shop now at HomePlus.,Promotions
Congratulations! You won a vacation. Click http://verify-now.example to claim now.,Spam
You have been selected for a gift card. Reply with your password.,Spam
"Happy birthday, Alex! Let's catch up tomorrow.",Personal
Your cart misses you. Save 20% on kitchenware today.,Promotions
"Happy birthday, Sam! Let's catch up this weekend.",Personal
Can you send the photos from the trip?,Personal
Earn $500 per day from home. Limited time: http://bonus.example,Spam
New arrivals at HomePlus. Get 10% off with code HELLO20.,Promotions
URGENT: Your account has been compromised. Verify at http://verify-now.example.,Spam
Your cart misses you. Save 40% on shoes today.,Promotions
We are seeing missing invoices in production since last night.,Support
We are seeing login errors in production since yesterday.,Support
I need help with the mobile app. The error says 'timeout'.,Support
Ticket #1034: payment failures. Please advise on next steps.,Support
Can you send the photos from the party?,Personal
Ticket #2048: login errors. Please advise on next steps.,Support
HomePlus sale: 10% off kitchenware. Ends tomorrow.,Promotions
You have been selected for a smartphone. Reply with your bank details.,Spam
"Happy birthday, Sam! Let's catch up this weekend.",Personal
Your cart misses you. Save 10% on shoes today.,Promotions
New arrivals at StyleCo. Get 40% off with code DEAL30.,Promotions
HomePlus sale: 30% off headphones. Ends Friday.,Promotions
We are seeing missing invoices in production since last night.,Support
New arrivals at ShopNow. Get 30% off with code DEAL30.,Promotions
URGENT: Your account has been compromised. Verify at http://verify-now.example.,Spam
Congratulations! You won a vacation. Click http://bonus.example to claim now.,Spam
We are seeing API timeouts in production since last night.,Support
"Hey Sam, are we still on for tomorrow?",Personal
Can you send the photos from the party?,Personal
TechMart sale: 20% off laptops. Ends Sunday.,Promotions
New arrivals at ShopNow. Get 30% off with code HELLO20.,Promotions
We are seeing payment failures in production since today.,Support
Congratulations! You won a vacation. Click http://free-offer.example to claim now.,Spam
Thanks for the help yesterday. Lunch tomorrow?,Personal
StyleCo sale: 10% off headphones. Ends Sunday.,Promotions
You have been selected for a smartphone. Reply with your bank details.,Spam
I need help with the dashboard. The error says '500 internal error'.,Support
Congratulations! You won a gift card. Click http://bonus.example to claim now.,Spam
Thanks for the help yesterday. Lunch tomorrow?,Personal
URGENT: Your account has been compromised. Verify at http://bonus.example.,Spam
Congratulations! You won a gift card. Click http://bonus.example to claim now.,Spam
Earn $1500 per day from home. Limited time: http://verify-now.example,Spam
TechMart sale: 40% off kitchenware. Ends tomorrow.,Promotions
I need help with the dashboard. The error says 'invalid token'.,Support
We are seeing login errors in production since today.,Support
My account is locked after a login attempt. Can you reset it?,Support
We are seeing payment failures in production since last night.,Support
Earn $1500 per day from home. Limited time: http://bonus.example,Spam
You have been selected for a gift card. Reply with your password.,Spam
URGENT: Your account has been compromised. Verify at http://free-offer.example.,Spam
My account is locked after a password change. Can you reset it?,Support
Can you send the photos from the party?,Personal
Thanks for the help yesterday. Lunch tomorrow?,Personal
TechMart sale: 30% off laptops. Ends tomorrow.,Promotions
New arrivals at HomePlus. Get 20% off with code DEAL30.,Promotions
Earn $1000 per day from home. Limited time: http://verify-now.example,Spam
"Happy birthday, Jordan! Let's catch up this weekend.",Personal
"Hey Alex, are we still on for this weekend?",Personal
Flash deal: shoes for $99. Shop now at TechMart.,Promotions
Your cart misses you. Save 10% on laptops today.,Promotions
"Hey Taylor, are we still on for this weekend?",Personal
Can you send the photos from the meeting?,Personal
Can you send the photos from the meeting?,Personal
Thanks for the help yesterday. Lunch this weekend?,Personal
Congratulations! You won a gift card. Click http://bonus.example to claim now.,Spam
Can you send the photos from the trip?,Personal
Congratulations! You won a vacation. Click http://free-offer.example to claim now.,Spam
Ticket #3301: payment failures. Please advise on next steps.,Support
URGENT: Your account has been compromised. Verify at http://bonus.example.,Spam
You have been selected for a vacation. Reply with your password.,Spam
URGENT: Your account has been compromised. Verify at http://verify-now.example.,Spam
New arrivals at ShopNow. Get 40% off with code HELLO20.,Promotions
Your cart misses you. Save 30% on shoes today.,Promotions
Can you send the photos from the trip?,Personal
Your cart misses you. Save 40% on laptops today.,Promotions
Your cart misses you. Save 10% on shoes today.,Promotions
Ticket #1034: payment failures. Please advise on next steps.,Support
Ticket #3301: missing invoices. Please advise on next steps.,Support
You have been selected for a smartphone. Reply with your bank details.,Spam
Earn $500 per day from home. Limited time: http://bonus.example,Spam
"Hey Alex, are we still on for next week?",Personal
You have been selected for a vacation. Reply with your SSN.,Spam
My account is locked after an update. Can you reset it?,Support
Can you send the photos from the meeting?,Personal
Flash deal: laptops for $29. Shop now at StyleCo.,Promotions
StyleCo sale: 20% off shoes. Ends Sunday.,Promotions
Flash deal: headphones for $29. Shop now at ShopNow.,Promotions
HomePlus sale: 30% off laptops. Ends tomorrow.,Promotions
URGENT: Your account has been compromised. Verify at http://free-offer.example.,Spam
Can you send the photos from the party?,Personal
New arrivals at TechMart. Get 30% off with code SAVE10.,Promotions
New arrivals at TechMart. Get 10% off with code DEAL30.,Promotions
Ticket #2048: payment failures. Please advise on next steps.,Support
Congratulations! You won a smartphone. Click http://verify-now.example to claim now.,Spam
Flash deal: laptops for $49. Shop now at HomePlus.,Promotions
"Hey Alex, are we still on for next week?",Personal
Thanks for the help yesterday. Lunch tomorrow?,Personal
New arrivals at StyleCo. Get 10% off with code DEAL30.,Promotions
You have been selected for a smartphone. Reply with your SSN.,Spam
Thanks for the help yesterday. Lunch next week?,Personal
Your cart misses you. Save 30% on headphones today.,Promotions
My account is locked after a login attempt. Can you reset it?,Support
Thanks for the help yesterday. Lunch tomorrow?,Personal
New arrivals at TechMart. Get 10% off with code DEAL30.,Promotions
Can you send the photos from the meeting?,Personal
I need help with the dashboard. The error says 'invalid token'.,Support
Flash deal: shoes for $49. Shop now at StyleCo.,Promotions
Ticket #3301: payment failures. Please advise on next steps.,Support
Ticket #3301: login errors. Please advise on next steps.,Support
HomePlus sale: 30% off shoes. Ends tomorrow.,Promotions
Congratulations! You won a gift card. Click http://verify-now.example to claim now.,Spam
We are seeing API timeouts in production since yesterday.,Support
URGENT: Your account has been compromised. Verify at http://bonus.example.,Spam
Your cart misses you. Save 20% on laptops today.,Promotions
"Hey Taylor, are we still on for tomorrow?",Personal
I need help with the mobile app. The error says 'timeout'.,Support
"Happy birthday, Jordan! Let's catch up next week.",Personal
Congratulations! You won a cash bonus. Click http://free-offer.example to claim now.,Spam
Thanks for the help yesterday. Lunch next week?,Personal
"Happy birthday, Taylor! Let's catch up this weekend.",Personal
My account is locked after an update. Can you reset it?,Support
I need help with the reporting API. The error says 'timeout'.,Support
"Hey Taylor, are we still on for next week?",Personal
"Happy birthday, Jordan! Let's catch up next week.",Personal
I need help with the mobile app. The error says '500 internal error'.,Support
"Hey Alex, are we still on for next week?",Personal
Your cart misses you. Save 10% on headphones today.,Promotions
Can you send the photos from the meeting?,Personal
Flash deal: shoes for $29. Shop now at HomePlus.,Promotions
Your cart misses you. Save 10% on kitchenware today.,Promotions
Flash deal: shoes for $29. Shop now at HomePlus.,Promotions
URGENT: Your account has been compromised. Verify at http://free-offer.example.,Spam
You have been selected for a cash bonus. Reply with your password.,Spam
New arrivals at StyleCo. Get 20% off with code SAVE10.,Promotions
Your cart misses you. Save 20% on headphones today.,Promotions
Ticket #3301: missing invoices. Please advise on next steps.,Support
New arrivals at TechMart. Get 40% off with code SAVE10.,Promotions
Can you send the photos from the trip?,Personal
Congratulations! You won a smartphone. Click http://bonus.example to claim now.,Spam
New arrivals at ShopNow. Get 30% off with code SAVE10.,Promotions
Flash deal: headphones for $99. Shop now at TechMart.,Promotions
"Happy birthday, Sam! Let's catch up next week.",Personal
Congratulations! You won a cash bonus. Click http://bonus.example to claim now.,Spam
Can you send the photos from the meeting?,Personal
Thanks for the help yesterday. Lunch next week?,Personal
We are seeing payment failures in production since today.,Support
"Happy birthday, Alex! Let's catch up tomorrow.",Personal
I need help with the mobile app. The error says '500 internal error'.,Support
Earn $1000 per day from home. Limited time: http://verify-now.example,Spam
"Hey Taylor, are we still on for next week?",Personal
"Hey Alex, are we still on for this weekend?",Personal
Earn $1000 per day from home. Limited time: http://verify-now.example,Spam
I need help with the dashboard. The error says '500 internal error'.,Support
"Happy birthday, Alex! Let's catch up next week.",Personal
We are seeing missing invoices in production since last night.,Support
Thanks for the help yesterday. Lunch tomorrow?,Personal
My account is locked after a password change. Can you reset it?,Support
My account is locked after a password change. Can you reset it?,Support
Flash deal: kitchenware for $49. Shop now at TechMart.,Promotions
My account is locked after a password change. Can you reset it?,Support
We are seeing API timeouts in production since today.,Support
Earn $500 per day from home. Limited time: http://bonus.example,Spam
"Happy birthday, Alex! Let's catch up tomorrow.",Personal
Congratulations! You won a smartphone. Click http://bonus.example to claim now.,Spam
"Happy birthday, Taylor! Let's catch up next week.",Personal
I need help with the reporting API. The error says 'timeout'.,Support
New arrivals at HomePlus. Get 20% off with code DEAL30.,Promotions
Earn $500 per day from home. Limited time: http://verify-now.example,Spam
You have been selected for a smartphone. Reply with your password.,Spam
My account is locked after a password change. Can you reset it?,Support
Earn $1500 per day from home. Limited time: http://bonus.example,Spam
Congratulations! You won a gift card. Click http://verify-now.example to claim now.,Spam
You have been selected for a smartphone. Reply with your bank details.,Spam
Thanks for the help yesterday. Lunch tomorrow?,Personal
HomePlus sale: 30% off shoes. Ends tomorrow.,Promotions
My account is locked after a password change. Can you reset it?,Support
Thanks for the help yesterday. Lunch next week?,Personal
URGENT: Your account has been compromised. Verify at http://bonus.example.,Spam
Congratulations! You won a vacation. Click http://verify-now.example to claim now.,Spam
Congratulations! You won a vacation. Click http://free-offer.example to claim now.,Spam
Congratulations! You won a vacation. Click http://free-offer.example to claim now.,Spam
Earn $1000 per day from home. Limited time: http://free-offer.example,Spam
My account is locked after a login attempt. Can you reset it?,Support
URGENT: Your account has been compromised. Verify at http://bonus.example.,Spam
Flash deal: headphones for $99. Shop now at ShopNow.,Promotions
Can you send the photos from the meeting?,Personal
"Hey Taylor, are we still on for next week?",Personal
Congratulations! You won a gift card. Click http://verify-now.example to claim now.,Spam
Thanks for the help yesterday. Lunch tomorrow?,Personal
TechMart sale: 40% off headphones. Ends tomorrow.,Promotions
URGENT: Your account has been compromised. Verify at http://bonus.example.,Spam
I need help with the mobile app. The error says '500 internal error'.,Support
Earn $500 per day from home. Limited time: http://free-offer.example,Spam
"Hey Taylor, are we still on for tomorrow?",Personal
"Hey Sam, are we still on for this weekend?",Personal
URGENT: Your account has been compromised. Verify at http://verify-now.example.,Spam
I need help with the reporting API. The error says 'invalid token'.,Support
Your cart misses you. Save 40% on laptops today.,Promotions
URGENT: Your account has been compromised. Verify at http://free-offer.example.,Spam
Your cart misses you. Save 10% on headphones today.,Promotions
ShopNow sale: 30% off shoes. Ends Friday.,Promotions
New arrivals at HomePlus. Get 10% off with code SAVE10.,Promotions
Ticket #2048: API timeouts. Please advise on next steps.,Support
Your cart misses you. Save 10% on headphones today.,Promotions
Congratulations! You won a vacation. Click http://verify-now.example to claim now.,Spam
Your cart misses you. Save 30% on shoes today.,Promotions
We are seeing missing invoices in production since today.,Support
We are seeing login errors in production since last night.,Support
Thanks for the help yesterday. Lunch tomorrow?,Personal
We are seeing payment failures in production since yesterday.,Support
You have been selected for a vacation. Reply with your SSN.,Spam
My account is locked after a login attempt. Can you reset it?,Support
You have been selected for a cash bonus. Reply with your bank details.,Spam
Flash deal: headphones for $49. Shop now at HomePlus.,Promotions
Congratulations! You won a gift card. Click http://free-offer.example to claim now.,Spam
Flash deal: shoes for $49. Shop now at HomePlus.,Promotions
My account is locked after an update. Can you reset it?,Support
Can you send the photos from the meeting?,Personal
New arrivals at StyleCo. Get 10% off with code HELLO20.,Promotions
Your cart misses you. Save 20% on shoes today.,Promotions
I need help with the mobile app. The error says 'invalid token'.,Support
New arrivals at StyleCo. Get 20% off with code SAVE10.,Promotions
You have been selected for a smartphone. Reply with your password.,Spam
"Hey Sam, are we still on for tomorrow?",Personal
StyleCo sale: 30% off headphones. Ends tomorrow.,Promotions
Flash deal: shoes for $29. Shop now at StyleCo.,Promotions
You have been selected for a gift card. Reply with your bank details.,Spam
Your cart misses you. Save 40% on laptops today.,Promotions
Thanks for the help yesterday. Lunch tomorrow?,Personal
Thanks for the help yesterday. Lunch tomorrow?,Personal
I need help with the reporting API. The error says 'invalid token'.,Support
Your cart misses you. Save 10% on shoes today.,Promotions
Your cart misses you. Save 40% on shoes today.,Promotions
Earn $1000 per day from home. Limited time: http://bonus.example,Spam
My account is locked after an update. Can you reset it?,Support
Can you send the photos from the meeting?,Personal
Congratulations! You won a smartphone. Click http://verify-now.example to claim now.,Spam
Earn $500 per day from home. Limited time: http://verify-now.example,Spam
Ticket #3301: payment failures. Please advise on next steps.,Support
Flash deal: headphones for $99. Shop now at TechMart.,Promotions
I need help with the reporting API. The error says 'invalid token'.,Support
You have been selected for a cash bonus. Reply with your password.,Spam
Ticket #2048: missing invoices. Please advise on next steps.,Support
Ticket #1034: login errors. Please advise on next steps.,Support
New arrivals at ShopNow. Get 40% off with code SAVE10.,Promotions
We are seeing API timeouts in production since last night.,Support
I need help with the dashboard. The error says 'timeout'.,Support
New arrivals at HomePlus. Get 10% off with code HELLO20.,Promotions
ShopNow sale: 30% off headphones. Ends tomorrow.,Promotions
We are seeing missing invoices in production since yesterday.,Support
Ticket #1034: API timeouts. Please advise on next steps.,Support
Earn $1000 per day from home. Limited time: http://free-offer.example,Spam
"Hey Jordan, are we still on for this weekend?",Personal
New arrivals at HomePlus. Get 30% off with code SAVE10.,Promotions
Congratulations! You won a gift card. Click http://verify-now.example to claim now.,Spam
ShopNow sale: 10% off laptops. Ends Sunday.,Promotions
Ticket #2048: missing invoices. Please advise on next steps.,Support
Can you send the photos from the trip?,Personal
URGENT: Your account has been compromised. Verify at http://free-offer.example.,Spam
Thanks for the help yesterday. Lunch tomorrow?,Personal
We are seeing login errors in production since today.,Support
Congratulations! You won a gift card. Click http://verify-now.example to claim now.,Spam
Earn $500 per day from home. Limited time: http://verify-now.example,Spam
ShopNow sale: 20% off headphones. Ends tomorrow.,Promotions
You have been selected for a smartphone. Reply with your SSN.,Spam
We are seeing login errors in production since yesterday.,Support
URGENT: Your account has been compromised. Verify at http://verify-now.example.,Spam
My account is locked after a password change. Can you reset it?,Support
"Happy birthday, Jordan! Let's catch up tomorrow.",Personal
"Hey Alex, are we still on for this weekend?",Personal
My account is locked after a login attempt. Can you reset it?,Support
Ticket #1034: payment failures. Please advise on next steps.,Support
I need help with the dashboard. The error says 'timeout'.,Support
URGENT: Your account has been compromised. Verify at http://free-offer.example.,Spam
My account is locked after an update. Can you reset it?,Support
You have been selected for a cash bonus. Reply with your SSN.,Spam
Congratulations! You won a gift card. Click http://bonus.example to claim now.,Spam
You have been selected for a smartphone. Reply with your SSN.,Spam
"Hey Taylor, are we still on for next week?",Personal
Can you send the photos from the trip?,Personal
We are seeing missing invoices in production since yesterday.,Support
You have been selected for a cash bonus. Reply with your SSN.,Spam
My account is locked after a password change. Can you reset it?,Support
I need help with the dashboard. The error says '500 internal error'.,Support
Earn $1500 per day from home. Limited time: http://verify-now.example,Spam
"Happy birthday, Taylor! Let's catch up this weekend.",Personal
Thanks for the help yesterday. Lunch next week?,Personal
New arrivals at TechMart. Get 10% off with code SAVE10.,Promotions
"Happy birthday, Jordan! Let's catch up tomorrow.",Personal
I need help with the reporting API. The error says '500 internal error'.,Support
URGENT: Your account has been compromised. Verify at http://verify-now.example.,Spam
URGENT: Your account has been compromised. Verify at http://bonus.example.,Spam
Your cart misses you. Save 10% on laptops today.,Promotions
Your cart misses you. Save 40% on headphones today.,Promotions
Ticket #3301: API timeouts. Please advise on next steps.,Support
Ticket #2048: login errors. Please advise on next steps.,Support
Flash deal: shoes for $49. Shop now at ShopNow.,Promotions
We are seeing payment failures in production since last night.,Support
We are seeing payment failures in production since last night.,Support
"Happy birthday, Jordan! Let's catch up this weekend.",Personal
"Hey Alex, are we still on for tomorrow?",Personal
Flash deal: laptops for $99. Shop now at StyleCo.,Promotions
My account is locked after an update. Can you reset it?,Support
Congratulations! You won a cash bonus. Click http://free-offer.example to claim now.,Spam
New arrivals at StyleCo. Get 10% off with code SAVE10.,Promotions
Congratulations! You won a gift card. Click http://free-offer.example to claim now.,Spam
New arrivals at TechMart. Get 40% off with code SAVE10.,Promotions
Ticket #3301: payment failures. Please advise on next steps.,Support
"Happy birthday, Jordan! Let's catch up tomorrow.",Personal
"Hey Alex, are we still on for next week?",Personal
Can you send the photos from the meeting?,Personal
New arrivals at HomePlus. Get 20% off with code DEAL30.,Promotions
Can you send the photos from the trip?,Personal
Flash deal: headphones for $99. Shop now at HomePlus.,Promotions
ShopNow sale: 20% off laptops. Ends Sunday.,Promotions
You have been selected for a cash bonus. Reply with your SSN.,Spam
Ticket #5502: payment failures. Please advise on next steps.,Support
Your cart misses you. Save 30% on shoes today.,Promotions
My account is locked after a login attempt. Can you reset it?,Support
HomePlus sale: 30% off laptops. Ends Sunday.,Promotions
You have been selected for a smartphone. Reply with your SSN.,Spam
Can you send the photos from the meeting?,Personal
StyleCo sale: 20% off laptops. Ends Friday.,Promotions
Earn $1000 per day from home. Limited time: http://verify-now.example,Spam
Earn $500 per day from home. Limited time: http://verify-now.example,Spam
We are seeing payment failures in production since last night.,Support
"Hey Sam, are we still on for next week?",Personal
New arrivals at HomePlus. Get 20% off with code SAVE10.,Promotions
Earn $1500 per day from home. Limited time: http://bonus.example,Spam
I need help with the reporting API. The error says 'invalid token'.,Support
You have been selected for a gift card. Reply with your bank details.,Spam
New arrivals at StyleCo. Get 20% off with code SAVE10.,Promotions
TechMart sale: 20% off shoes. Ends tomorrow.,Promotions
Congratulations! You won a cash bonus. Click http://free-offer.example to claim now.,Spam
"Happy birthday, Sam! Let's catch up next week.",Personal
You have been selected for a cash bonus. Reply with your password.,Spam
You have been selected for a smartphone. Reply with your SSN.,Spam
Thanks for the help yesterday. Lunch this weekend?,Personal
Your cart misses you. Save 30% on headphones today.,Promotions
New arrivals at ShopNow. Get 20% off with code SAVE10.,Promotions
Congratulations! You won a gift card. Click http://bonus.example to claim now.,Spam
"Happy birthday, Jordan! Let's catch up next week.",Personal
Can you send the photos from the trip?,Personal
Can you send the photos from the trip?,Personal
Ticket #2048: missing invoices. Please advise on next steps.,Support
StyleCo sale: 10% off shoes. Ends tomorrow.,Promotions
Thanks for the help yesterday. Lunch tomorrow?,Personal
You have been selected for a cash bonus. Reply with your bank details.,Spam
Flash deal: laptops for $49. Shop now at ShopNow.,Promotions
"Hey Taylor, are we still on for this weekend?",Personal
We are seeing payment failures in production since yesterday.,Support
We are seeing login errors in production since today.,Support
TechMart sale: 10% off kitchenware. Ends Sunday.,Promotions
Flash deal: laptops for $49. Shop now at ShopNow.,Promotions
My account is locked after a login attempt. Can you reset it?,Support
You have been selected for a smartphone. Reply with your bank details.,Spam
"Happy birthday, Jordan! Let's catch up tomorrow.",Personal
Thanks for the help yesterday. Lunch this weekend?,Personal
"Happy birthday, Taylor! Let's catch up this weekend.",Personal
We are seeing payment failures in production since today.,Support
StyleCo sale: 40% off headphones. Ends Sunday.,Promotions
Flash deal: headphones for $49. Shop now at HomePlus.,Promotions
My account is locked after a login attempt. Can you reset it?,Support
Your cart misses you. Save 40% on shoes today.,Promotions
